Date,State,Station,Station No.,Min Temp(°C),Max Temp(°C),Rain(mm),Max Wind Dir,Max Wind Spd(km/h)
24/1/20,ACT,Canberra Airport ,70351,14.8,28.8,3.2,NW,56
25/1/20,ACT,Canberra Airport ,70351,16.4,33.7,0,NW,50
26/1/20,ACT,Canberra Airport ,70351,16.9,34.7,0,NW,50
27/1/20,ACT,Canberra Airport ,70351,14.2,35.9,0,E,54
28/1/20,ACT,Canberra Airport ,70351,20.5,34.4,0,E,44
29/1/20,ACT,Canberra Airport ,70351,13.3,32,0,ENE,44
30/1/20,ACT,Canberra Airport ,70351,13.4,37.3,0,NNW,30
31/1/20,ACT,Canberra Airport ,70351,16.7,41.9,0,NNW,48
1/2/20,ACT,Canberra Airport ,70351,25.5,42.7,0,W,61
2/2/20,ACT,Canberra Airport ,70351,26.7,33.7,0,W,59
3/2/20,ACT,Canberra Airport ,70351,15.3,29.2,0,WNW,52
4/2/20,ACT,Canberra Airport ,70351,7,25.3,0,E,44
5/2/20,ACT,Canberra Airport ,70351,10,29.1,0,E,52
6/2/20,ACT,Canberra Airport ,70351,15.7,25.4,0,ENE,41
7/2/20,ACT,Canberra Airport ,70351,16.4,23.7,0.8,E,54
8/2/20,ACT,Canberra Airport ,70351,16.3,23.9,1.8,SE,57
9/2/20,ACT,Canberra Airport ,70351,15.5,18.4,3.4,SE,63
10/2/20,ACT,Canberra Airport ,70351,15.4,27.6,60.4,ENE,39
11/2/20,ACT,Canberra Airport ,70351,17.2,28.7,0,NNE,43
12/2/20,ACT,Canberra Airport ,70351,17.3,28.2,0.2,ESE,41
13/2/20,ACT,Canberra Airport ,70351,19.4,27.4,0,ENE,43
14/2/20,ACT,Canberra Airport ,70351,14.5,29.2,2.6,ENE,28
15/2/20,ACT,Canberra Airport ,70351,18.1,29.8,0,S,54
16/2/20,ACT,Canberra Airport ,70351,15.9,26,6.8,ESE,46
17/2/20,ACT,Canberra Airport ,70351,16.6,26.3,0,ENE,33
18/2/20,ACT,Canberra Airport ,70351,17.8,31.2,0,WNW,57
19/2/20,ACT,Canberra Airport ,70351,14.5,21.1,4,WNW,56
20/2/20,ACT,Canberra Airport ,70351,11,25.4,0,ENE,39
21/2/20,ACT,Canberra Airport ,70351,12.1,26.5,0,E,56
22/2/20,ACT,Canberra Airport ,70351,13.9,26.3,0,ENE,41
23/2/20,ACT,Canberra Airport ,70351,12.7,26.5,0,N,26
24/2/20,ACT,Canberra Airport ,70351,13.9,29.7,0,ESE,33
25/2/20,ACT,Canberra Airport ,70351,12.7,30.6,0,NW,37
26/2/20,ACT,Canberra Airport ,70351,18,29.8,0,,
27/2/20,ACT,Canberra Airport ,70351,10.3,26.2,0,NNW,39
28/2/20,ACT,Canberra Airport ,70351,6.8,28.3,0,ENE,50
29/2/20,ACT,Canberra Airport ,70351,10.5,26.7,0,N,28
1/3/20,ACT,Canberra Airport ,70351,11.9,31,0,N,50
2/3/20,ACT,Canberra Airport ,70351,13.1,31.1,0,WSW,41
3/3/20,ACT,Canberra Airport ,70351,14.6,19,0,E,31
4/3/20,ACT,Canberra Airport ,70351,14.5,19,12.8,NE,28
5/3/20,ACT,Canberra Airport ,70351,15.1,19.6,37.6,N,31
6/3/20,ACT,Canberra Airport ,70351,17.3,25.5,22,N,41
7/3/20,ACT,Canberra Airport ,70351,14.6,23.2,0.8,E,39
8/3/20,ACT,Canberra Airport ,70351,13,20.8,0,SSE,46
9/3/20,ACT,Canberra Airport ,70351,10.9,21.1,4,E,37
10/3/20,ACT,Canberra Airport ,70351,8.6,23.7,0,E,35
11/3/20,ACT,Canberra Airport ,70351,10.6,24.1,0,E,35
12/3/20,ACT,Canberra Airport ,70351,8.9,24.3,0,ENE,28
13/3/20,ACT,Canberra Airport ,70351,8.9,25,0,WNW,41
14/3/20,ACT,Canberra Airport ,70351,8.6,18.2,5,S,50
15/3/20,ACT,Canberra Airport ,70351,4.3,19.6,1.8,E,37
16/3/20,ACT,Canberra Airport ,70351,7.2,20.5,0,E,43
17/3/20,ACT,Canberra Airport ,70351,7.1,22.9,0,N,26
18/3/20,ACT,Canberra Airport ,70351,7,25.2,0,N,39
19/3/20,ACT,Canberra Airport ,70351,10.6,28.1,0,NW,35
20/3/20,ACT,Canberra Airport ,70351,15,28.6,0,WNW,63
21/3/20,ACT,Canberra Airport ,70351,7.3,24.3,0,N,30
22/3/20,ACT,Canberra Airport ,70351,7.6,25.4,0,NW,41
23/3/20,ACT,Canberra Airport ,70351,11.8,21.5,0,E,39
24/3/20,ACT,Canberra Airport ,70351,8.7,23,0,ENE,26
25/3/20,ACT,Canberra Airport ,70351,12.9,24.9,0.2,E,44
26/3/20,ACT,Canberra Airport ,70351,9.7,20.9,2,ESE,37
27/3/20,ACT,Canberra Airport ,70351,11.5,21.5,0,E,35
28/3/20,ACT,Canberra Airport ,70351,5.3,22.1,0,NE,37
29/3/20,ACT,Canberra Airport ,70351,11.1,25,0,W,39
30/3/20,ACT,Canberra Airport ,70351,15.2,23.7,13.2,NW,41
31/3/20,ACT,Canberra Airport ,70351,13.4,23.6,0.4,NNW,26
1/4/20,ACT,Canberra Airport ,70351,10.1,25.8,0,N,31
2/4/20,ACT,Canberra Airport ,70351,13.8,20,1.4,NNW,37
3/4/20,ACT,Canberra Airport ,70351,11.3,16.9,20,NW,28
4/4/20,ACT,Canberra Airport ,70351,12.8,16.6,8.2,WNW,72
5/4/20,ACT,Canberra Airport ,70351,9,14.3,1.4,NW,56
6/4/20,ACT,Canberra Airport ,70351,10.3,18.5,0,NNW,39
7/4/20,ACT,Canberra Airport ,70351,6.1,18,0,ENE,28
8/4/20,ACT,Canberra Airport ,70351,12.2,18.9,0,ENE,35
9/4/20,ACT,Canberra Airport ,70351,10.3,20.5,0,E,35
10/4/20,ACT,Canberra Airport ,70351,12.5,18.5,12,NW,56
11/4/20,ACT,Canberra Airport ,70351,11.1,17,2,WNW,76
12/4/20,ACT,Canberra Airport ,70351,0.6,17.1,0,N,28
13/4/20,ACT,Canberra Airport ,70351,3.4,17.4,0,N,19
14/4/20,ACT,Canberra Airport ,70351,3.7,20.3,0,NNW,19
15/4/20,ACT,Canberra Airport ,70351,7.1,24.4,0,NW,33
16/4/20,ACT,Canberra Airport ,70351,14.1,22.6,0,NW,56
17/4/20,ACT,Canberra Airport ,70351,10,18.8,0,NW,54
18/4/20,ACT,Canberra Airport ,70351,7.4,18.5,0,NNW,39
19/4/20,ACT,Canberra Airport ,70351,1.3,17.9,0,N,26
20/4/20,ACT,Canberra Airport ,70351,7.7,18.2,0,NW,56
21/4/20,ACT,Canberra Airport ,70351,4.1,20.8,0,WNW,39
22/4/20,ACT,Canberra Airport ,70351,6.5,20.7,0,WNW,48
23/4/20,ACT,Canberra Airport ,70351,1.4,18.7,0,NW,39
24/4/20,ACT,Canberra Airport ,70351,6.9,22.3,0,WNW,39
25/4/20,ACT,Canberra Airport ,70351,3.1,20.8,0,NNW,37
26/4/20,ACT,Canberra Airport ,70351,8.2,17.5,0,NW,52
27/4/20,ACT,Canberra Airport ,70351,7.2,18.5,0.4,N,24
28/4/20,ACT,Canberra Airport ,70351,4.1,21.9,0.2,NNW,33
29/4/20,ACT,Canberra Airport ,70351,11.4,16.8,1.6,N,59
30/4/20,ACT,Canberra Airport ,70351,8.9,9.7,24.4,NNW,50
1/5/20,ACT,Canberra Airport ,70351,4.6,9.4,10.6,NW,69
2/5/20,ACT,Canberra Airport ,70351,5.2,10.8,2.8,WNW,61
